title,author,length
Circe,Madeline Miller,Length: 12 hrs and 8 mins
The Seven Principles for Making Marriage Work,"John M. Gottman PhD,Nan Silver",Length: 10 hrs and 17 mins
Yellowface,R. F. Kuang,Length: 8 hrs and 39 mins
8 Rules of Love,Jay Shetty,Length: 10 hrs and 21 mins
Brain Energy,Christopher M. Palmer MD,Length: 12 hrs and 18 mins
All the Sinners Bleed,S. A. Cosby,Length: 13 hrs and 5 mins
Warbreaker,Brandon Sanderson,Length: 24 hrs and 56 mins
Defiant,Michael R. Miller,Length: 26 hrs and 30 mins
The Witness,Nora Roberts,Length: 16 hrs and 19 mins
Catching Fire,Suzanne Collins,Length: 11 hrs and 3 mins
Pageboy,Elliot Page,Length: 8 hrs and 23 mins
The Making of Another Major Motion Picture Masterpiece,Tom Hanks,Length: 15 hrs and 57 mins
Unsouled,Will Wight,Length: 8 hrs and 52 mins
The Guilty One,Bill Schweigart,Length: 9 hrs and 7 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
The Screwtape Letters,C. S. Lewis,Length: 3 hrs and 36 mins
Never Lie,Freida McFadden,Length: 7 hrs and 21 mins
Your Next Five Moves,Patrick Bet-David,Length: 8 hrs and 6 mins
Never Get a 'Real' Job,Scott Gerber,Length: 8 hrs and 10 mins
Then She Was Gone,Lisa Jewell,Length: 10 hrs and 12 mins
The Demon-Haunted World,Carl Sagan,Length: 17 hrs and 23 mins
Simply Lies,David Baldacci,Length: 11 hrs and 45 mins
The Return of the Gods,Jonathan Cahn,Length: 8 hrs and 34 mins
Paris,Paris Hilton,Length: 8 hrs and 22 mins
The Bone Witch,Rin Chupeco,Length: 12 hrs and 8 mins
Bad Summer People,Emma Rosenblum,Length: 9 hrs and 48 mins
Hábitos atómicos,James Clear,Length: 9 hrs and 1 min
Fervent,Priscilla Shirer,Length: 4 hrs and 25 mins
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,Length: 11 hrs and 31 mins
The 7 Habits of Highly Effective People,"Sean Covey,Jim Collins - foreword,Stephen R. Covey",Length: 15 hrs and 7 mins
The Last Thing He Told Me,Laura Dave,Length: 8 hrs and 49 mins
Waybound,Will Wight,Length: 16 hrs and 13 mins
Moby Dick,Herman Melville,Length: 24 hrs and 49 mins
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
Tom Clancy Flash Point,Don Bentley,Length: 11 hrs and 33 mins
Destined for War,Graham Allison,Length: 12 hrs and 43 mins
Storm Front,Jim Butcher,Length: 8 hrs and 1 min
The Righteous Mind,Jonathan Haidt,Length: 11 hrs and 1 min
I Will Teach You to Be Rich,Ramit Sethi,Length: 12 hrs and 8 mins
The 5AM Club,Robin Sharma,Length: 11 hrs and 4 mins
The Librarian of Crooked Lane,C.J. Archer,Length: 8 hrs and 9 mins
I'm Glad My Mom Died,Jennette McCurdy,Length: 6 hrs and 26 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
The Art Thief,Michael Finkel,Length: 5 hrs and 39 mins
